Name;Typ;Präzision;Schaden;DK;Reichw./Modus;RK;Munition;Fundstelle;Zubehör
Remington 995 „Buzzsaw“;Schrotflinten;4;11K;-1;HM;-;8(s);tödl. Schatten;Vordergriff, mod.Repetiergriff, Montageschiene (oben u. unten), Sturmzähne, Regeln: S. 138
Remington Roomsweeper;Schwere Pistolen;4;7K;-1;HM;-;8(m);Regelwerk;Regeln f. Schrotflinten bei Flechettemunition
Remington Suppressor;Automatikpistolen;6;7K;-1;HM/SM;-;15(s);Schattenhb. 1;Schalldämpfer
RPK - SMG;Schweres Maschinengewehr;5 (6);12K;-4;AM;-6;50(s) o. Gurt;Regelwerk;Dreibein
Ruger 101;Sportgewehre;6 (7);11K;-3;HM;1;8(m);Regelwerk;Schockpolster
Ruger Super Warhawk;Schwere Pistolen;5 (6);9K;-2;EM;-;6(tr);Regelwerk;
Ruhrmetall SF-20 - SMG;Schweres Maschinengewehr;5 (6);12K;-4;AM;3(4);50(s) o. Gurt;Kreuzfeuer;Gasventil-3, Hüftpolstersystem, LM
Ruhrmetall SMK 252;Sturmkanonen;6;16K;-5;HM;1(2);20(s);SotA ADL;Vordergriff, Zweibein, verl. Lauf, Zielfernrohr, Vergr. Ladestreifen-1
SA Nemesis – LMG;Leichtes Maschinengewehr;5 (7);9K;-2;SM/AM;2;50(s) o. Gurt;Kreuzfeuer;Gasventil-2, SM, Freund/Feind-Erkennungssystem
Sako M2045;Sturmgewehre;5 (6);9K;-2;HM/SM/AM;4 (5);30(s);Gruppe;LM, Gasventil-3, Vordergriff, auskl. Schulterstütze, 4 Montageschienen, Zielfernrohr, taktische Lampe
Sako M2045 SU;Sturmgewehre;5 (6);9K;-2;HM/SM/AM;2 (3);30(s);Gruppe;LM, Gasventil-2, auskl. Schulterstütze
Savalette Guardian;Schwere Pistolen;5 (7);8K;-1;HM/SM*;1;12(s);Kreuzfeuer;SM, Micro-Gyro-Rückstoßkomp.-1, Salve = kompl. H.
SBD-44;Sturmgewehre;3;10K;-1;HM/SM/AM;-;32(s);Schattenhb. 1;altes Modell
schwere Armbrust;Projektilwaffen (Armbrüste, Harpunengewehre);5;10K;-3;;;4(m);Regelwerk;
SCK Modell 100;Maschinenpistole;5 (7);8K;-;HM/SM;-1;30(s);Regelwerk;auskl. Schulterstütze, SM
Shiawase Arms Monsoon;Sturmgewehre;5 (7);10K;-1;HM/AM;1;20(v) x 6;Schattenhb. 1;elektr. Feuern, SM, Nahkampfverstärkung
Shiawase Arms Puzzler;Leichte Pistolen;4;6K;-;HM;-;12(s);Kreuzfeuer;zerlegbar, Regel: S. 31
Shiawase Arms Rain;Schrotflinten;4;10K;-1;HM;-1;5(v);Schattenhb. 1;ausz. Schulterstütze
Springfield 2003;Sportgewehre;9;12K;-2;EM;-;5(m);Schattenhb. 1;altes Modell
Springfield M1A;Sportgewehre;6;12K;-1;HM;-;20(s);Schattenhb. 1;Zielfernrohr (Vergr. Bild, Verb.-1)
Springfiled 1855 Reproduction;Sportgewehre;3;10K;-;EM;-;1(p);Schattenhb. 1;altes Modell, Perkussionsschloss
Steyr AUG-CSL III – LMG;Leichtes Maschinengewehr;6 (7);10K;-2;SM/AM;-2;30(s);SotA ADL;Zweibein, LM, Zielfernrohr,  Regeln: S. 29
Steyr AUG-CSL III Karabiner;Sturmgewehre (Karabiner, RW MP, Tarn +4);6 (7);8K;-2;HM/SM/AM;1;36(s);SotA ADL;Vordergriff, LM, Zielfernrohr,  Regeln: S. 29
Steyr AUG-CSL III Scharfsch.;Scharfschützengewehre;7 (8);10K;-3;HM;-2;10(s);SotA ADL;Zweibein, LM, Zielfernrohr,  Regeln: S. 29
Steyr AUG-CSL III Sturmgew.;Sturmgewehre;6 (7);10K;-2;HM/SM/AM;1;30(s);SotA ADL;Vordergriff, LM, Zielfernrohr,  Regeln: S. 29
Steyr TMP;Automatikpistolen;4 (5);7K;-;HM/SM/AM;-;30(s);Regelwerk;LM
Steyr UCR;Sturmgewehre;6 (7);9K;-2;HM/SM/AM;1;40(s);SotA ADL;Schockpolster, LM
Steyr UCR - Unterlaufschrotflinte;Sturmgewehre;3 (4);10K;-1;EM;-;4(m);-;
Stinger Kugelschreiber-Pistole;Holdout-Pistolen;4;6K;-;EM;-;1(k);Tricks&Finesse;Tarnmod.-4 zum Entdecken des wahren Zwecks
Stoner Ares M-22A1 - SMG;Schweres Maschinengewehr;4;18K;-6;AM;6*;200 (gurt);tödl. Schatten;SM, *zusätzl. Zum Fahrzeugrumpf, Fahrzeugwaffe, Regeln: S. 137
Stoner Ares M202 - MMG;Mittleres Maschinengewehr;5;10K;-3;AM;-;50(s) o. Gurt;Regelwerk;
Streetline Special;Holdout-Pistolen;4;6K;-;HM;-;6(s);Regelwerk;-2 Würfel bei Scan mit MAD-Scannern
SWD Dragunov;Scharfschützengewehre;5 (6);10K;-2;HM;-;10(s);Schattenhb. 1;LM
taktische Enterhakenkanone;Projektilwaffen (Armbrüste, Harpunengewehre);4 (6);9G;-2;EM;;1(k);Harte Ziele;SM, RW: s. Armbrust, Regeln: S. 180
Taurus Omni-6;Leichte Pistolen;5 (6);6K / 7K;- / -1;HM/EM;-;6(tr);Regelwerk;Muni für leichte und schwere Pistolen ladbar
Terracotta Arms AM-47;Scharfschützengewehre;7 (9);15K;-4;HM;-2;18(s);Kreuzfeuer;Zweibein, SM, Zielfern (Bild, RV, Vergr.), Kommlink-5,
Terracotta Arms Pup;Holdout-Pistolen;4 (6);6K;-;HM;-;5(s);tödl. Schatten;SM, Modell mit Schalldämpfer (Verf. 6V, Preis 600,-)
Terracotta Arms X-5 MGL;Raketenwerfer;4;Rakete;Rakete;EM;1;6(tr);tödl. Schatten;Vordergriff
Ultimax 70;Automatikpistolen;5 (6);6K;-;SM/AM;2;15(s);Kreuzfeuer;Gasventil-2, LM
Ultimax MMG - MMG;Mittleres Maschinengewehr;5 (6);10K;-2;AM;1 (6);50(s) o. Gurt;Kreuzfeuer;Vordergriff, Dreibein, LM
Ultimax Rain Forest Carbine;Sturmgewehre (Karabiner, RW MP, Tarn +4);7;12K;-2;HM;-1;18(s);Schattenhb. 1;ausz. Schulterstütze, Zielfern (Bild, Blitzkomp., RV), Werte modifiziert durch Gruppe
Ultimax SMG-2 - SMG;Schweres Maschinengewehr;4 (5);11K;-4;AM;-6;50(s) o. Gurt;Kreuzfeuer;Dreibein, LM
Uzi IV;Maschinenpistole;4 (5);7K;-;SM;-1;24(s);Regelwerk;auskl. Schulterstütze, LM
Walther P118;Automatikpistolen;5 (7);7K;-;HM/SM/AM;3;24(s);SotA ADL;SM, Gasventil-2, elektr. Feuern, ausgeb. Abzug, Freund-/Feinderkennung, vergr. Ladestreifen 1
Walther Palm Pistol;Holdout-Pistolen;4;7K;-;EM/SM;-;2(k);Regelwerk;kurze Salve möglich
Walther PB 120;Leichte Pistolen;6 (7);7K;-;HM;-;10(s);Gruppe;LM
Walther PP110;Leichte Pistolen;7;7K;-;HM;-;16(s);Schattenhb. 2;Metamenschen-Anpassung, takt.Lampe. verb.Sicherh.
Walther Secura II;Schwere Pistolen;6 (8);8K;-1;HM;-;18(s);SotA ADL;SM, takt. Lampe (standard)
Walther Secura Superkomp.;Holdout-Pistolen;4;7K;-1;HM;-;4(s);SotA ADL;Keramik-/Plaststahlkomp.-4,  Muni: schwere Pistole
Winchester Airbow;Projektilwaffen (Armbrüste, Harpunengewehre);5;10K;-2;EM;;1(v);tödl. Schatten;RW:  mittl. Armbrust, Regeln: S. 25
Winchester Modell 201;Schrotflinten;8;11K;-1;HM;-;2(k);Schattenhb. 1;
Winchester Modell 2024;Sportgewehre;6;12K;-;HM;-;7(m);Schattenhb. 1;Zielfernrohr (Vergr.)
Winchester Modell 2054;Schrotflinten;4 (5);11K;-1;HM;-1;7(m);Schattenhb. 1;ausz. Schulterstütze, LM
Winchester Modell 2066;Schrotflinten;4;11K;-1;EM;-;5(m);Schattenhb. 1;
Winchester Modell 2067;Sportgewehre;5;8K;-1;HM;-;15(m);Schattenhb. 1;altes Modell,  RW:  MP,  Muni: schwere Pistole
Wirtz Demo Control;Schrotflinten;4;12K;-1;EM;-;4(m);Gruppe;
Wuxing Armtech PTL-02;Granat-/Torpedowerfer;5;Torpedo;Torpedo;EM;-;6(tr);tödl. Schatten;Umgebungsmod. 2 (Unterwasser), Regeln und Muni: S. 141
WW Infiltrator;Schwere Pistolen;5;7K;-1;HM;-;15(s);tödl. Schatten;keine Modikationen, Regeln: S. 34
Yamaha Raiden;Sturmgewehre;6 (8);11K;-2;SM/AM;1;60(s);Regelwerk;elektr. Feuern, SM, int. Schalldämpfer
Yamaha Sakura Fubuki SX;Leichte Pistolen;6;6K;-;HM/SM;1;8(v) x 4;Tricks&Finesse;elektr. Feuern
Unterlaufgranatwerfer;Granat-/Torpedowerfer;4;Granate;Granate;EM;-;6(m);Regelwerk;
